               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.029255,            0.017326,            0.002311,              0.9991,                   1,               0.995,             0.73203,            0.020758,           0.0067824,          0.00012353,            0.006436,            0.006436,            0.006436
                  38,            0.028932,            0.017158,           0.0023027,             0.99806,             0.99957,               0.995,             0.71897,            0.020457,           0.0069616,          0.00019226,            0.006337,            0.006337,            0.006337
                  39,            0.028894,            0.017255,           0.0026662,             0.99874,                   1,               0.995,             0.73045,            0.019923,           0.0068451,          0.00016935,            0.006238,            0.006238,            0.006238
                  40,            0.028287,            0.017142,            0.002404,             0.99904,                   1,               0.995,             0.76346,            0.018558,            0.006592,          0.00017654,            0.006139,            0.006139,            0.006139
                  41,            0.028289,            0.017665,           0.0019911,             0.99888,                   1,               0.995,             0.74307,            0.019666,           0.0067297,          0.00018806,             0.00604,             0.00604,             0.00604
                  42,            0.028193,            0.017136,           0.0021478,             0.99875,                   1,               0.995,               0.747,            0.019415,           0.0066053,          0.00018009,            0.005941,            0.005941,            0.005941
                  43,            0.028152,            0.017221,           0.0019062,             0.99912,                   1,               0.995,             0.76277,            0.019044,           0.0065971,          0.00015013,            0.005842,            0.005842,            0.005842
                  44,            0.028287,            0.017251,           0.0022658,             0.99908,                   1,               0.995,             0.73693,            0.019667,           0.0068313,          0.00018953,            0.005743,            0.005743,            0.005743
                  45,            0.027438,            0.016646,           0.0019811,             0.99872,                   1,               0.995,             0.74675,             0.01928,           0.0066447,          0.00015725,            0.005644,            0.005644,            0.005644
                  46,            0.027837,            0.016781,           0.0020061,             0.99892,                   1,               0.995,             0.72678,             0.02009,           0.0066834,          0.00016048,            0.005545,            0.005545,            0.005545
                  47,            0.027509,            0.016754,           0.0016958,             0.99868,                   1,               0.995,             0.75294,            0.019748,           0.0066812,           0.0001274,            0.005446,            0.005446,            0.005446
                  48,            0.027224,            0.016432,           0.0018653,             0.99903,                   1,               0.995,             0.75586,            0.019065,           0.0066684,          0.00010494,            0.005347,            0.005347,            0.005347
                  49,             0.02727,            0.016371,           0.0021633,             0.99918,                   1,               0.995,             0.69119,             0.02141,           0.0068746,          0.00012066,            0.005248,            0.005248,            0.005248
                  50,            0.026801,            0.016304,           0.0020448,             0.99814,                   1,               0.995,             0.75646,            0.019081,           0.0066009,          0.00023983,            0.005149,            0.005149,            0.005149
                  51,            0.027039,            0.016719,           0.0024039,             0.99897,                   1,               0.995,             0.74692,            0.019618,            0.006609,          0.00014944,             0.00505,             0.00505,             0.00505
                  52,            0.027042,            0.016332,           0.0021542,             0.99875,                   1,               0.995,             0.75127,            0.019354,           0.0064841,          0.00013006,            0.004951,            0.004951,            0.004951
                  53,            0.026915,            0.015842,           0.0015208,             0.99912,                   1,               0.995,             0.74906,            0.019401,           0.0067595,          9.7709e-05,            0.004852,            0.004852,            0.004852
                  54,             0.02706,            0.016296,           0.0019788,             0.99941,                   1,               0.995,              0.7457,             0.01935,           0.0067312,          0.00013822,            0.004753,            0.004753,            0.004753
                  55,            0.026842,            0.016443,            0.002104,             0.99909,                   1,               0.995,             0.74468,            0.019818,           0.0066449,          0.00011857,            0.004654,            0.004654,            0.004654
                  56,             0.02635,            0.016295,           0.0016932,             0.99907,                   1,               0.995,             0.75725,            0.018746,           0.0064317,          0.00014854,            0.004555,            0.004555,            0.004555
                  57,            0.025901,            0.016299,           0.0016684,             0.99903,                   1,               0.995,             0.74044,            0.019466,           0.0065355,          0.00014689,            0.004456,            0.004456,            0.004456
                  58,            0.026081,            0.015972,           0.0015635,             0.99879,                   1,               0.995,             0.73259,            0.019496,           0.0066242,          9.9106e-05,            0.004357,            0.004357,            0.004357
                  59,            0.026059,            0.015737,           0.0018292,             0.99887,                   1,               0.995,             0.75827,            0.018894,           0.0066297,          9.8264e-05,            0.004258,            0.004258,            0.004258
                  60,            0.026129,            0.016088,           0.0016005,             0.99881,                   1,               0.995,             0.75087,            0.019033,           0.0064991,          0.00010217,            0.004159,            0.004159,            0.004159
                  61,            0.026337,            0.015951,           0.0018801,             0.99883,                   1,               0.995,             0.75707,            0.019143,            0.006615,          6.6724e-05,             0.00406,             0.00406,             0.00406
                  62,            0.025914,            0.016426,           0.0015062,             0.99905,                   1,               0.995,               0.769,            0.018157,           0.0065269,          5.9386e-05,            0.003961,            0.003961,            0.003961
                  63,            0.026128,            0.015958,           0.0017051,             0.99894,                   1,               0.995,             0.76394,            0.019214,           0.0064483,          0.00011671,            0.003862,            0.003862,            0.003862
                  64,            0.025467,            0.015721,           0.0015055,             0.99932,                   1,               0.995,             0.76324,            0.018699,           0.0063946,          0.00012593,            0.003763,            0.003763,            0.003763
                  65,            0.025214,            0.015998,           0.0014675,              0.9994,                   1,               0.995,             0.76648,            0.018492,            0.006463,          7.2565e-05,            0.003664,            0.003664,            0.003664
                  66,            0.025588,            0.015624,           0.0012791,             0.99908,                   1,               0.995,             0.75832,            0.019127,           0.0065353,           6.791e-05,            0.003565,            0.003565,            0.003565
                  67,             0.02549,             0.01561,           0.0015312,             0.99932,                   1,               0.995,             0.73796,            0.020161,           0.0065122,          6.4777e-05,            0.003466,            0.003466,            0.003466
                  68,            0.025464,             0.01569,           0.0014738,             0.99909,                   1,               0.995,             0.75561,            0.019034,           0.0064554,          6.2516e-05,            0.003367,            0.003367,            0.003367
                  69,            0.025216,            0.015396,           0.0013552,             0.99911,                   1,               0.995,             0.76468,            0.018791,           0.0064607,          5.2997e-05,            0.003268,            0.003268,            0.003268
                  70,            0.024988,            0.015586,           0.0017368,             0.99907,                   1,               0.995,              0.7459,            0.019364,           0.0064493,          8.6796e-05,            0.003169,            0.003169,            0.003169
                  71,             0.02493,            0.015227,            0.001504,             0.99919,                   1,               0.995,              0.7611,            0.018168,           0.0063752,          6.2261e-05,             0.00307,             0.00307,             0.00307
                  72,            0.024781,            0.015624,           0.0017529,             0.99927,                   1,               0.995,             0.76717,            0.018239,            0.006459,          6.7027e-05,            0.002971,            0.002971,            0.002971
                  73,             0.02461,            0.015294,           0.0015991,             0.99919,                   1,               0.995,             0.76662,            0.018284,           0.0064075,          5.9463e-05,            0.002872,            0.002872,            0.002872
                  74,             0.02431,            0.015575,           0.0012982,             0.99928,                   1,               0.995,             0.76545,            0.018815,           0.0064323,          5.7639e-05,            0.002773,            0.002773,            0.002773
                  75,            0.024391,            0.015277,           0.0015189,              0.9992,                   1,               0.995,             0.76663,            0.018404,           0.0063669,          4.7507e-05,            0.002674,            0.002674,            0.002674
                  76,            0.024372,            0.015335,           0.0014657,             0.99918,                   1,               0.995,              0.7753,            0.017947,           0.0062672,          4.7761e-05,            0.002575,            0.002575,            0.002575
                  77,            0.023908,            0.014842,           0.0014063,             0.99921,                   1,               0.995,             0.76432,            0.018406,           0.0063629,          4.6963e-05,            0.002476,            0.002476,            0.002476
                  78,            0.024022,            0.015402,           0.0014657,             0.99931,                   1,               0.995,             0.75295,             0.01885,           0.0064426,           6.205e-05,            0.002377,            0.002377,            0.002377
                  79,            0.024009,            0.015055,           0.0012722,             0.99932,                   1,               0.995,             0.77469,            0.017742,           0.0062878,          4.1755e-05,            0.002278,            0.002278,            0.002278
                  80,            0.024268,            0.015396,           0.0014652,             0.99921,                   1,               0.995,             0.77535,             0.01747,           0.0062381,          3.9082e-05,            0.002179,            0.002179,            0.002179
                  81,            0.024116,             0.01516,           0.0013057,             0.99913,                   1,               0.995,             0.76036,            0.018357,           0.0063662,          5.3777e-05,             0.00208,             0.00208,             0.00208
                  82,            0.024051,            0.015388,           0.0010259,             0.99909,                   1,               0.995,             0.77345,            0.017916,            0.006292,          4.1075e-05,            0.001981,            0.001981,            0.001981
                  83,            0.023512,            0.014803,           0.0012074,             0.99942,                   1,               0.995,             0.77282,            0.017857,           0.0062501,          3.8226e-05,            0.001882,            0.001882,            0.001882
                  84,            0.023968,            0.015331,           0.0015602,             0.99926,                   1,               0.995,             0.77807,            0.017457,           0.0062019,          4.2442e-05,            0.001783,            0.001783,            0.001783
                  85,            0.023994,            0.015202,            0.001167,             0.99908,                   1,               0.995,              0.7757,            0.018251,           0.0062489,          3.5631e-05,            0.001684,            0.001684,            0.001684
                  86,            0.023679,             0.01496,           0.0010481,              0.9993,                   1,               0.995,             0.76978,             0.01771,           0.0062174,          4.6245e-05,            0.001585,            0.001585,            0.001585
                  87,             0.02381,            0.014562,            0.001386,             0.99921,                   1,               0.995,             0.77387,            0.018012,           0.0062721,               7e-05,            0.001486,            0.001486,            0.001486
                  88,            0.023345,            0.014956,           0.0012765,             0.99924,                   1,               0.995,             0.76272,            0.018593,           0.0061966,          3.8886e-05,            0.001387,            0.001387,            0.001387
                  89,            0.023021,            0.015012,            0.001185,              0.9994,                   1,               0.995,             0.76863,            0.018166,           0.0063148,          4.3217e-05,            0.001288,            0.001288,            0.001288
                  90,            0.023317,            0.014903,           0.0011357,             0.99929,                   1,               0.995,             0.77718,              0.0179,           0.0062342,          3.3318e-05,            0.001189,            0.001189,            0.001189
                  91,            0.023366,            0.014724,           0.0013059,             0.99928,                   1,               0.995,             0.77517,            0.017851,           0.0062378,          3.3931e-05,             0.00109,             0.00109,             0.00109
                  92,            0.023085,            0.014718,          0.00097977,             0.99928,                   1,               0.995,             0.77446,            0.018188,           0.0061988,          3.5924e-05,            0.000991,            0.000991,            0.000991
                  93,            0.022824,            0.014785,            0.000844,             0.99936,                   1,               0.995,             0.77209,            0.017967,           0.0061942,          3.9835e-05,            0.000892,            0.000892,            0.000892
                  94,            0.023015,            0.014817,          0.00084956,             0.99924,                   1,               0.995,             0.77661,            0.017915,           0.0062225,          3.8267e-05,            0.000793,            0.000793,            0.000793
                  95,            0.022874,            0.014324,          0.00084142,             0.99931,                   1,               0.995,             0.77659,            0.018052,           0.0062169,          3.3326e-05,            0.000694,            0.000694,            0.000694
                  96,            0.022961,            0.014589,           0.0010914,             0.99918,                   1,               0.995,             0.77436,            0.018013,           0.0062088,          4.4148e-05,            0.000595,            0.000595,            0.000595
                  97,            0.022729,            0.014488,          0.00087958,             0.99919,                   1,               0.995,             0.78365,            0.017735,           0.0061111,           2.839e-05,            0.000496,            0.000496,            0.000496
                  98,            0.022707,            0.014979,          0.00089957,             0.99939,                   1,               0.995,             0.77795,            0.017832,           0.0061562,          2.9521e-05,            0.000397,            0.000397,            0.000397
                  99,            0.022808,            0.014229,           0.0011788,             0.99931,                   1,               0.995,               0.776,            0.018004,           0.0062091,          3.3522e-05,            0.000298,            0.000298,            0.000298
